iter	Passed	Remaining
0	19	19452
1	34	17047
2	50	16630
3	66	16523
4	75	15009
5	87	14422
6	97	13782
7	106	13199
8	111	12244
9	121	12007
10	124	11202
11	137	11355
12	143	10915
13	152	10714
14	162	10661
15	171	10518
16	179	10357
17	187	10255
18	195	10115
19	198	9716
20	203	9506
21	216	9622
22	219	9329
23	247	10062
24	250	9765
25	253	9492
26	256	9237
27	270	9400
28	285	9561
29	288	9342
30	296	9275
31	301	9124
32	311	9126
33	318	9060
34	328	9054
35	336	9003
36	345	8980
37	355	8994
38	365	8998
39	371	8915
40	374	8753
41	390	8908
42	402	8959
43	413	8979
44	424	9015
45	435	9026
46	443	8985
47	453	8984
48	463	8992
49	475	9039
50	485	9039
51	497	9065
52	507	9074
53	518	9086
54	528	9075
55	536	9044
56	544	9009
57	553	8984
58	560	8936
59	564	8836
60	566	8722
61	570	8630
62	572	8517
63	575	8418
64	580	8355
65	584	8272
66	591	8242
67	596	8177
68	599	8089
69	602	7998
70	605	7925
71	610	7871
72	616	7831
73	622	7784
74	627	7737
75	631	7681
76	636	7629
77	640	7574
78	646	7531
79	650	7478
80	655	7440
81	661	7410
82	667	7370
83	670	7307
84	673	7246
85	676	7188
86	679	7130
87	682	7073
88	685	7018
89	688	6963
90	691	6909
91	694	6856
92	697	6805
93	701	6756
94	703	6706
95	706	6657
96	709	6608
97	713	6562
98	716	6520
99	720	6480
100	723	6435
101	725	6391
102	729	6351
103	732	6310
104	735	6269
105	738	6227
106	741	6186
107	745	6156
108	749	6123
109	751	6084
110	756	6054
111	759	6019
112	761	5977
113	764	5943
114	767	5907
115	770	5873
116	774	5845
117	778	5818
118	782	5789
119	785	5756
120	788	5726
121	791	5694
122	794	5664
123	797	5634
124	800	5605
125	803	5576
126	807	5549
127	810	5524
128	814	5497
129	818	5479
130	822	5456
131	825	5429
132	828	5402
133	831	5376
134	835	5352
135	839	5330
136	842	5305
137	845	5281
138	848	5257
139	852	5234
140	855	5214
141	860	5197
142	864	5183
143	869	5169
144	873	5152
145	878	5136
146	882	5121
147	887	5106
148	891	5090
149	895	5077
150	900	5062
151	904	5047
152	909	5034
153	913	5020
154	919	5010
155	924	5001
156	930	4997
157	937	4993
158	942	4986
159	946	4967
160	949	4946
161	952	4927
162	955	4906
163	958	4887
164	962	4868
165	965	4848
166	968	4829
167	971	4810
168	974	4791
169	978	4775
170	982	4762
171	987	4754
172	991	4740
173	996	4731
174	1000	4717
175	1004	4703
176	1007	4686
177	1012	4673
178	1015	4656
179	1017	4635
180	1020	4617
181	1023	4600
182	1027	4586
183	1030	4568
184	1032	4550
185	1035	4531
186	1038	4516
187	1041	4499
188	1044	4482
189	1047	4465
190	1050	4449
191	1053	4433
192	1056	4417
193	1059	4400
194	1062	4384
195	1065	4371
196	1069	4358
197	1072	4344
198	1075	4329
199	1078	4313
200	1081	4299
201	1084	4284
202	1086	4267
203	1089	4252
204	1092	4238
205	1095	4221
206	1099	4210
207	1102	4199
208	1106	4186
209	1109	4175
210	1112	4161
211	1115	4147
212	1119	4136
213	1123	4126
214	1126	4112
215	1129	4100
216	1133	4088
217	1137	4081
218	1140	4066
219	1143	4053
220	1146	4040
221	1149	4027
222	1152	4015
223	1156	4005
224	1158	3991
225	1161	3979
226	1164	3965
227	1167	3952
228	1170	3940
229	1173	3927
230	1176	3915
231	1179	3903
232	1181	3887
233	1184	3877
234	1188	3867
235	1193	3863
236	1197	3853
237	1201	3847
238	1206	3842
239	1212	3839
240	1216	3832
241	1221	3824
242	1224	3814
243	1228	3805
244	1230	3793
245	1234	3783
246	1236	3770
247	1240	3761
248	1242	3748
249	1246	3738
250	1250	3730
251	1252	3717
252	1256	3708
253	1259	3699
254	1262	3687
255	1264	3675
256	1268	3666
257	1271	3657
258	1275	3648
259	1283	3651
260	1289	3649
261	1294	3646
262	1299	3641
263	1305	3639
264	1310	3635
265	1316	3631
266	1321	3628
267	1327	3625
268	1330	3616
269	1334	3608
270	1337	3598
271	1340	3587
272	1344	3579
273	1346	3568
274	1350	3559
275	1354	3553
276	1358	3545
277	1360	3534
278	1363	3523
279	1367	3515
280	1369	3505
281	1372	3494
282	1375	3485
283	1377	3472
284	1380	3462
285	1382	3452
286	1385	3442
287	1388	3433
288	1391	3423
289	1394	3413
290	1397	3404
291	1398	3391
292	1401	3382
293	1404	3372
294	1407	3363
295	1411	3356
296	1416	3352
297	1421	3348
298	1426	3344
299	1430	3338
300	1435	3332
301	1439	3327
302	1444	3322
303	1449	3317
304	1455	3315
305	1459	3310
306	1464	3305
307	1468	3300
308	1472	3292
309	1477	3287
310	1481	3282
311	1488	3281
312	1493	3277
313	1499	3276
314	1505	3274
315	1511	3270
316	1517	3269
317	1523	3266
318	1529	3265
319	1534	3261
320	1541	3260
321	1547	3258
322	1552	3253
323	1557	3249
324	1563	3247
325	1569	3245
326	1575	3242
327	1581	3241
328	1588	3238
329	1594	3236
330	1600	3235
331	1605	3230
332	1610	3226
333	1615	3221
334	1621	3217
335	1626	3213
336	1631	3209
337	1636	3204
338	1640	3198
339	1647	3198
340	1652	3193
341	1657	3188
342	1662	3183
343	1666	3177
344	1671	3172
345	1676	3169
346	1681	3164
347	1686	3159
348	1690	3154
349	1695	3149
350	1700	3143
351	1705	3139
352	1710	3135
353	1715	3131
354	1720	3125
355	1725	3120
356	1730	3116
357	1734	3110
358	1739	3106
359	1746	3105
360	1751	3099
361	1755	3094
362	1760	3090
363	1766	3086
364	1771	3081
365	1775	3075
366	1780	3070
367	1785	3066
368	1791	3063
369	1796	3058
370	1801	3053
371	1806	3048
372	1810	3043
373	1815	3039
374	1820	3034
375	1825	3028
376	1829	3022
377	1833	3016
378	1837	3011
379	1842	3005
380	1846	3000
381	1851	2995
382	1856	2990
383	1861	2985
384	1865	2979
385	1870	2975
386	1875	2971
387	1881	2967
388	1887	2965
389	1894	2962
390	1898	2957
391	1903	2952
392	1908	2947
393	1913	2943
394	1919	2939
395	1923	2934
396	1928	2929
397	1933	2924
398	1938	2919
399	1942	2913
400	1948	2910
401	1952	2904
402	1957	2899
403	1962	2894
404	1966	2889
405	1972	2885
406	1976	2879
407	1980	2874
408	1985	2868
409	1990	2864
410	1994	2858
411	1999	2853
412	2004	2848
413	2009	2844
414	2013	2838
415	2018	2834
416	2022	2827
417	2025	2820
418	2030	2815
419	2035	2810
420	2039	2805
421	2044	2800
422	2048	2794
423	2054	2790
424	2058	2784
425	2063	2780
426	2067	2774
427	2072	2769
428	2077	2764
429	2081	2758
430	2085	2753
431	2090	2748
432	2096	2744
433	2099	2738
434	2104	2732
435	2107	2725
436	2110	2718
437	2113	2711
438	2116	2704
439	2119	2697
440	2122	2690
441	2125	2682
442	2127	2675
443	2131	2668
444	2134	2661
445	2137	2654
446	2140	2647
447	2142	2640
448	2146	2634
449	2149	2627
450	2153	2620
451	2156	2614
452	2159	2607
453	2162	2600
454	2165	2593
455	2168	2587
456	2171	2580
457	2174	2573
458	2177	2566
459	2180	2559
460	2183	2552
461	2186	2545
462	2190	2540
463	2194	2535
464	2198	2528
465	2200	2521
466	2202	2513
467	2204	2506
468	2207	2499
469	2210	2492
470	2212	2485
471	2215	2477
472	2217	2470
473	2219	2463
474	2222	2456
475	2224	2449
476	2227	2441
477	2229	2434
478	2231	2427
479	2234	2420
480	2236	2412
481	2238	2406
482	2241	2399
483	2243	2392
484	2246	2385
485	2249	2379
486	2252	2372
487	2254	2364
488	2256	2357
489	2258	2351
490	2261	2344
491	2263	2337
492	2267	2331
493	2270	2325
494	2274	2320
495	2277	2314
496	2281	2308
497	2284	2303
498	2287	2297
499	2291	2291
500	2294	2285
501	2297	2279
502	2300	2273
503	2303	2266
504	2306	2260
505	2309	2254
506	2312	2248
507	2318	2245
508	2321	2239
509	2324	2233
510	2328	2227
511	2331	2221
512	2334	2215
513	2337	2210
514	2340	2204
515	2344	2198
516	2347	2193
517	2350	2187
518	2353	2181
519	2357	2175
520	2360	2169
521	2363	2164
522	2366	2158
523	2369	2152
524	2372	2146
525	2375	2140
526	2379	2135
527	2382	2129
528	2385	2123
529	2389	2118
530	2393	2113
531	2397	2109
532	2401	2104
533	2405	2099
534	2410	2095
535	2415	2090
536	2420	2086
537	2424	2082
538	2428	2077
539	2433	2073
540	2437	2068
541	2442	2064
542	2447	2059
543	2452	2055
544	2457	2051
545	2461	2046
546	2466	2042
547	2470	2037
548	2475	2033
549	2479	2028
550	2484	2024
551	2488	2019
552	2493	2015
553	2498	2011
554	2502	2006
555	2507	2002
556	2511	1997
557	2516	1993
558	2521	1988
559	2525	1984
560	2529	1979
561	2533	1974
562	2538	1970
563	2542	1965
564	2548	1961
565	2552	1957
566	2558	1953
567	2562	1949
568	2568	1945
569	2573	1941
570	2577	1936
571	2580	1931
572	2583	1925
573	2587	1920
574	2590	1914
575	2592	1908
576	2595	1902
577	2598	1897
578	2600	1891
579	2604	1886
580	2607	1880
581	2609	1874
582	2613	1869
583	2616	1863
584	2618	1857
585	2621	1852
586	2624	1846
587	2627	1841
588	2630	1835
589	2634	1830
590	2636	1824
591	2639	1818
592	2642	1813
593	2645	1808
594	2648	1802
595	2651	1797
596	2654	1791
597	2657	1786
598	2659	1780
599	2662	1774
600	2664	1768
601	2665	1762
602	2667	1756
603	2669	1750
604	2671	1744
605	2673	1737
606	2675	1732
607	2677	1725
608	2678	1719
609	2680	1713
610	2682	1707
611	2684	1701
612	2686	1695
613	2687	1689
614	2689	1683
615	2691	1677
616	2693	1671
617	2695	1666
618	2697	1660
619	2698	1654
620	2700	1648
621	2702	1642
622	2704	1636
623	2706	1630
624	2708	1624
625	2709	1618
626	2711	1613
627	2713	1607
628	2715	1601
629	2717	1596
630	2719	1590
631	2721	1584
632	2723	1578
633	2724	1573
634	2726	1567
635	2728	1561
636	2730	1555
637	2732	1550
638	2733	1544
639	2735	1538
640	2737	1533
641	2739	1527
642	2741	1521
643	2743	1516
644	2746	1511
645	2750	1507
646	2753	1502
647	2756	1497
648	2759	1492
649	2762	1487
650	2765	1482
651	2769	1477
652	2772	1473
653	2775	1468
654	2778	1463
655	2785	1460
656	2788	1455
657	2792	1451
658	2795	1446
659	2798	1441
660	2801	1436
661	2804	1432
662	2808	1427
663	2811	1422
664	2814	1417
665	2817	1413
666	2820	1408
667	2824	1403
668	2827	1398
669	2830	1394
670	2833	1389
671	2837	1384
672	2839	1379
673	2843	1375
674	2846	1370
675	2849	1365
676	2852	1361
677	2856	1356
678	2859	1351
679	2862	1347
680	2865	1342
681	2868	1337
682	2871	1332
683	2874	1328
684	2878	1323
685	2881	1319
686	2884	1314
687	2887	1309
688	2890	1304
689	2894	1300
690	2897	1295
691	2900	1291
692	2904	1286
693	2907	1281
694	2912	1278
695	2914	1272
696	2916	1267
697	2918	1262
698	2920	1257
699	2922	1252
700	2924	1247
701	2926	1242
702	2927	1236
703	2929	1231
704	2931	1226
705	2933	1221
706	2935	1216
707	2937	1211
708	2939	1206
709	2941	1201
710	2943	1196
711	2945	1191
712	2947	1186
713	2949	1181
714	2951	1176
715	2953	1171
716	2955	1166
717	2957	1161
718	2958	1156
719	2960	1151
720	2962	1146
721	2964	1141
722	2966	1136
723	2968	1131
724	2969	1126
725	2971	1121
726	2972	1116
727	2974	1111
728	2975	1106
729	2977	1101
730	2979	1096
731	2980	1091
732	2982	1086
733	2984	1081
734	2985	1076
735	2987	1071
736	2989	1066
737	2990	1061
738	2992	1056
739	2994	1051
740	2995	1047
741	2997	1042
742	2998	1037
743	3000	1032
744	3002	1027
745	3003	1022
746	3005	1017
747	3006	1012
748	3008	1008
749	3009	1003
750	3011	998
751	3012	993
752	3014	988
753	3016	984
754	3017	979
755	3019	974
756	3020	969
757	3024	965
758	3026	961
759	3029	956
760	3032	952
761	3035	947
762	3037	943
763	3040	939
764	3043	934
765	3044	930
766	3046	925
767	3047	920
768	3049	915
769	3050	911
770	3052	906
771	3053	901
772	3055	897
773	3057	892
774	3058	887
775	3060	883
776	3061	878
777	3063	874
778	3064	869
779	3066	864
780	3067	860
781	3069	855
782	3071	851
783	3072	846
784	3074	842
785	3075	837
786	3077	832
787	3079	828
788	3080	823
789	3082	819
790	3083	814
791	3085	810
792	3087	805
793	3089	801
794	3090	796
795	3092	792
796	3093	788
797	3095	783
798	3096	779
799	3098	774
800	3100	770
801	3101	765
802	3103	761
803	3104	756
804	3106	752
805	3108	748
806	3109	743
807	3111	739
808	3112	734
809	3114	730
810	3117	726
811	3120	722
812	3123	718
813	3127	714
814	3129	710
815	3132	706
816	3135	702
817	3138	698
818	3141	694
819	3142	689
820	3144	685
821	3145	681
822	3147	676
823	3150	672
824	3152	668
825	3155	664
826	3158	660
827	3160	656
828	3162	652
829	3163	647
830	3165	643
831	3167	639
832	3168	635
833	3170	631
834	3171	626
835	3173	622
836	3174	618
837	3176	614
838	3178	609
839	3179	605
840	3181	601
841	3182	597
842	3184	593
843	3185	588
844	3187	584
845	3188	580
846	3190	576
847	3191	572
848	3193	567
849	3194	563
850	3196	559
851	3197	555
852	3199	551
853	3200	547
854	3202	543
855	3203	538
856	3205	534
857	3206	530
858	3208	526
859	3210	522
860	3211	518
861	3213	514
862	3215	510
863	3216	506
864	3218	502
865	3220	498
866	3222	494
867	3223	490
868	3225	486
869	3226	482
870	3228	478
871	3229	474
872	3231	470
873	3233	466
874	3234	462
875	3236	458
876	3237	454
877	3239	450
878	3241	446
879	3242	442
880	3244	438
881	3245	434
882	3247	430
883	3249	426
884	3250	422
885	3252	418
886	3253	414
887	3255	410
888	3256	406
889	3258	402
890	3259	398
891	3261	394
892	3262	390
893	3264	387
894	3266	383
895	3267	379
896	3269	375
897	3270	371
898	3272	367
899	3273	363
900	3275	359
901	3276	356
902	3278	352
903	3280	348
904	3281	344
905	3283	340
906	3284	336
907	3286	332
908	3287	329
909	3289	325
910	3291	321
911	3292	317
912	3294	313
913	3296	310
914	3297	306
915	3299	302
916	3300	298
917	3302	294
918	3304	291
919	3305	287
920	3307	283
921	3308	279
922	3310	276
923	3312	272
924	3313	268
925	3315	264
926	3316	261
927	3318	257
928	3320	253
929	3321	250
930	3323	246
931	3325	242
932	3327	238
933	3328	235
934	3330	231
935	3331	227
936	3333	224
937	3335	220
938	3336	216
939	3338	213
940	3339	209
941	3341	205
942	3342	202
943	3344	198
944	3346	194
945	3347	191
946	3349	187
947	3350	183
948	3352	180
949	3353	176
950	3355	172
951	3357	169
952	3358	165
953	3360	162
954	3362	158
955	3363	154
956	3365	151
957	3366	147
958	3368	144
959	3369	140
960	3371	136
961	3372	133
962	3374	129
963	3376	126
964	3377	122
965	3379	118
966	3380	115
967	3382	111
968	3384	108
969	3385	104
970	3387	101
971	3388	97
972	3390	94
973	3392	90
974	3393	87
975	3395	83
976	3396	79
977	3398	76
978	3400	72
979	3401	69
980	3403	65
981	3404	62
982	3406	58
983	3408	55
984	3409	51
985	3411	48
986	3412	44
987	3414	41
988	3415	37
989	3417	34
990	3418	31
991	3420	27
992	3422	24
993	3423	20
994	3425	17
995	3426	13
996	3428	10
997	3429	6
998	3431	3
999	3432	0
938	11584	752
939	11590	739
940	11594	726
941	11600	714
942	11606	701
943	11611	688
944	11615	676
945	11621	663
946	11626	650
947	11632	638
948	11638	625
949	11644	612
950	11650	600
951	11657	587
952	11667	575
953	11671	562
954	11680	550
955	11684	537
956	11688	525
957	11692	512
958	11698	500
959	11703	487
960	11708	475
961	11713	462
962	11718	450
963	11723	437
964	11727	425
965	11734	413
966	11738	400
967	11743	388
968	11752	375
969	11758	363
970	11765	351
971	11772	339
972	11780	326
973	11787	314
974	11793	302
975	11800	290
976	11807	277
977	11816	265
978	11824	253
979	11831	241
980	11840	229
981	11846	217
982	11854	205
983	11862	192
984	11871	180
985	11880	168
986	11884	156
987	11888	144
988	11893	132
989	11898	120
990	11900	108
991	11905	96
992	11909	83
993	11913	71
994	11916	59
995	11918	47
996	11920	35
997	11922	23
998	11924	11
999	11927	0
