iter	RMSE
0	53382.269
1	52880.86808
2	52445.99389
3	52038.08907
4	51648.10714
5	51271.61896
6	50942.78564
7	50623.47788
8	50354.38151
9	50117.30454
10	49894.88028
11	49680.18212
12	49476.49924
13	49296.45149
14	49129.80909
15	48984.89968
16	48839.33796
17	48701.28574
18	48576.83978
19	48476.56913
20	48352.13738
21	48244.22187
22	48154.82903
23	48094.89733
24	48027.67757
25	47942.7046
26	47888.28401
27	47824.85588
28	47769.08144
29	47702.15272
30	47639.16158
31	47589.42763
32	47538.44149
33	47485.04921
34	47435.1667
35	47397.33036
36	47357.2758
37	47319.8372
38	47286.43083
39	47260.47587
40	47222.85282
41	47191.02349
42	47161.32289
43	47128.9168
44	47103.77942
45	47080.12393
46	47050.89777
47	47021.32585
48	46993.68159
49	46969.18226
50	46945.46512
51	46920.67642
52	46899.9157
53	46875.78997
54	46859.68374
55	46839.75965
56	46820.57106
57	46800.54186
58	46780.25949
59	46761.30959
60	46748.58966
61	46734.71673
62	46719.60869
63	46705.3192
64	46682.4678
65	46667.8346
66	46647.57893
67	46633.28696
68	46618.42668
69	46597.27727
70	46582.65892
71	46568.16246
72	46555.52546
73	46545.35782
74	46530.99867
75	46512.92451
76	46500.89426
77	46494.5843
78	46470.10259
79	46456.0731
80	46446.13909
81	46430.70695
82	46419.87946
83	46412.00851
84	46403.02232
85	46396.02248
86	46387.22445
87	46376.63014
88	46367.51484
89	46358.76047
90	46347.83729
91	46339.54393
92	46328.43079
93	46317.07573
94	46311.06145
95	46297.86999
96	46294.64581
97	46287.04926
98	46272.64282
99	46257.75039
100	46245.8126
101	46240.68351
102	46229.43218
103	46223.81143
104	46208.25848
105	46201.82578
106	46195.39067
107	46187.85391
108	46177.60053
109	46170.86591
110	46161.81679
111	46150.95348
112	46149.82563
113	46143.37034
114	46138.5811
115	46132.51956
116	46126.08316
117	46122.6836
118	46115.99512
119	46108.1702
120	46101.87454
121	46095.34521
122	46083.43977
123	46073.65414
124	46057.53738
125	46054.83623
126	46044.26207
127	46037.8008
128	46031.31631
129	46024.6079
130	46018.83046
131	46006.68588
132	46001.86819
133	45993.54386
134	45985.12638
135	45980.15165
136	45964.22081
137	45956.065
138	45949.20671
139	45938.54419
140	45930.31354
141	45923.74083
142	45915.43877
143	45908.96798
144	45905.30988
145	45897.97992
146	45888.72941
147	45883.27077
148	45872.09227
149	45857.62093
150	45846.40012
151	45842.65125
152	45835.92772
153	45831.01556
154	45825.24388
155	45820.72154
156	45812.14657
157	45805.49684
158	45795.55636
159	45789.59229
160	45776.78539
161	45770.89101
162	45763.14824
163	45752.39426
164	45746.76315
165	45742.05245
166	45737.22574
167	45726.88235
168	45719.78953
169	45710.14643
170	45698.81124
171	45694.7187
172	45688.52564
173	45675.38753
174	45661.94443
175	45649.05258
176	45638.69984
177	45628.75764
178	45616.52369
179	45605.1844
180	45599.58402
181	45589.84477
182	45585.33638
183	45579.3918
184	45569.23207
185	45565.32096
186	45557.04115
187	45550.83695
188	45542.04169
189	45533.50103
190	45521.95581
191	45512.44498
192	45507.24066
193	45498.97399
194	45487.79205
195	45484.76318
196	45477.02736
197	45472.36188
198	45467.69069
199	45461.5751
200	45458.62477
201	45450.12355
202	45446.57941
203	45442.17173
204	45435.43816
205	45424.89784
206	45417.80138
207	45413.56459
208	45408.16526
209	45401.67075
210	45399.58048
211	45385.4219
212	45384.4842
213	45369.4548
214	45357.36463
215	45352.49466
216	45344.65691
217	45333.12236
218	45323.64201
219	45316.19346
220	45313.52203
221	45307.12772
222	45299.54543
223	45293.14155
224	45291.454
225	45273.83139
226	45267.44632
227	45260.58329
228	45252.67164
229	45243.1497
230	45236.94611
231	45231.01682
232	45224.97934
233	45221.49589
234	45209.73324
235	45206.00226
236	45194.77366
237	45190.56613
238	45181.30878
239	45176.94255
240	45168.21853
241	45163.20476
242	45154.59128
243	45139.46991
244	45129.51972
245	45120.04645
246	45110.68874
247	45103.97512
248	45101.78511
249	45090.12865
250	45081.27039
251	45077.15806
252	45071.92395
253	45058.97724
254	45054.80142
255	45054.14135
256	45049.14188
257	45039.90284
258	45030.81418
259	45018.42707
260	45010.03923
261	45001.58052
262	44997.60409
263	44987.73187
264	44981.06998
265	44978.86319
266	44968.94527
267	44959.80102
268	44957.74293
269	44945.89486
270	44936.53526
271	44930.98186
272	44914.43283
273	44909.45188
274	44901.46441
275	44896.23181
276	44892.56576
277	44889.1803
278	44886.26001
279	44883.05744
280	44879.67126
281	44871.92911
282	44859.94332
283	44854.91115
284	44843.02266
285	44838.49243
286	44835.80808
287	44832.27852
288	44826.48888
289	44816.59735
290	44810.74082
291	44808.39195
292	44804.71456
293	44792.41958
294	44792.06959
295	44781.42636
296	44779.31535
297	44768.44348
298	44765.5728
299	44756.37876
300	44754.38157
301	44742.27545
302	44734.8465
303	44725.62921
304	44717.01435
305	44713.20117
